employee_id,attrition_flag,exit_date,exit_reason
E100000,No,,
E100001,No,,
E100002,No,,
E100003,No,,
E100004,No,,
E100005,No,,
E100006,No,,
E100007,No,,
E100008,No,,
E100009,No,,
E100010,No,,
E100011,No,,
E100012,No,,
E100013,No,,
E100014,No,,
E100015,No,,
E100016,No,,
E100017,No,,
E100018,No,,
E100019,No,,
E100020,No,,
E100021,No,,
E100022,Yes,2022-12-04,Career Stagnation
E100023,No,,
E100024,No,,
E100025,Yes,2022-01-08,Work-Life Balance
E100026,No,,
E100027,No,,
E100028,No,,
E100029,No,,
E100030,No,,
E100031,Yes,2022-06-06,Manager Issues
E100032,Yes,2023-10-27,Manager Issues
E100033,Yes,2024-11-30,Manager Issues
E100034,No,,
E100035,No,,
E100036,No,,
E100037,Yes,2019-10-12,Better Pay
E100038,No,,
E100039,No,,
E100040,Yes,2020-07-05,Better Pay
E100041,No,,
E100042,No,,
E100043,Yes,2020-11-19,Career Stagnation
E100044,No,,
E100045,Yes,2026-04-19,Manager Issues
E100046,No,,
E100047,No,,
E100048,No,,
E100049,No,,
E100050,Yes,2022-07-23,Career Stagnation
E100051,No,,
E100052,No,,
E100053,No,,
E100054,No,,
E100055,No,,
E100056,Yes,2023-04-26,Work-Life Balance
E100057,No,,
E100058,Yes,2023-04-28,Career Stagnation
E100059,No,,
E100060,No,,
E100061,No,,
E100062,No,,
E100063,No,,
E100064,No,,
E100065,No,,
E100066,Yes,2021-11-27,Career Stagnation
E100067,Yes,2019-11-05,Career Stagnation
E100068,No,,
E100069,No,,
E100070,No,,
E100071,No,,
E100072,No,,
E100073,No,,
E100074,Yes,2020-02-25,Better Pay
E100075,No,,
E100076,No,,
E100077,No,,
E100078,Yes,2027-07-21,Work-Life Balance
E100079,No,,
E100080,Yes,2021-03-24,Manager Issues
E100081,No,,
E100082,Yes,2020-04-12,Work-Life Balance
E100083,No,,
E100084,No,,
E100085,No,,
E100086,No,,
E100087,No,,
E100088,No,,
E100089,No,,
E100090,Yes,2024-11-01,Better Pay
E100091,No,,
E100092,No,,
E100093,No,,
E100094,No,,
E100095,Yes,2024-12-13,Career Stagnation
