employee_id,salary,bonus,salary_band,last_hike_date
E100000,417763,45322,L1,2022-03-26
E100001,1114335,92842,L3,2019-05-21
E100002,819575,70960,L2,2021-04-25
E100003,485874,29469,L1,2024-09-07
E100004,825704,45542,L2,2021-12-02
E100005,851431,110027,L2,2023-07-02
E100006,660855,53466,L2,2022-01-17
E100007,1541591,167329,L4,2022-01-05
E100008,418481,38859,L1,2023-02-14
E100009,757662,97007,L2,2024-05-17
E100010,1192590,110531,L3,2024-05-15
E100011,1160686,70987,L3,2023-08-06
E100012,1060040,94821,L3,2021-04-20
E100013,1163414,116603,L3,2022-06-20
E100014,532901,57968,L1,2021-04-22
E100015,422000,29980,L1,2021-10-22
E100016,747356,104502,L2,2025-08-15
E100017,1102364,120500,L3,2022-07-24
E100018,1109204,129090,L3,2021-09-05
E100019,574279,46639,L1,2024-11-17
E100020,476531,56986,L1,2022-09-27
E100021,524971,58749,L1,2020-01-12
E100022,694503,56111,L2,2021-07-09
E100023,637439,69877,L2,2025-07-17
E100024,716079,63086,L2,2023-07-29
E100025,768411,94536,L2,2021-02-18
E100026,715565,81470,L2,2023-06-27
E100027,901095,102199,L3,2024-02-29
E100028,1537237,224170,L4,2024-04-23
E100029,1506029,171792,L4,2023-04-17
E100030,1330865,86298,L4,2026-04-28
E100031,1214015,135971,L4,2021-06-22
E100032,905850,53220,L3,2026-01-13
E100033,700865,101103,L2,2021-11-16
E100034,499219,52512,L1,2023-08-03
E100035,928965,106238,L3,2020-08-07
E100036,617133,88207,L2,2023-04-22
E100037,919399,99092,L3,2019-08-31
E100038,508631,44796,L1,2019-12-11
E100039,789138,100170,L2,2025-07-12
E100040,454148,23955,L1,2019-10-12
E100041,776322,108642,L2,2020-03-03
E100042,1322715,161129,L4,2024-04-13
E100043,727265,86759,L2,2022-03-04
E100044,625829,70097,L2,2018-12-15
E100045,871125,126635,L2,2024-03-04
E100046,761452,108984,L2,2024-04-11
E100047,870288,73659,L2,2021-04-08
E100048,1361068,133993,L4,2026-03-31
E100049,783818,72460,L2,2019-06-17
E100050,1002345,114352,L3,2024-07-05
E100051,1421131,105920,L4,2021-04-17
E100052,822835,112504,L2,2022-11-12
E100053,747105,41909,L2,2019-03-01
E100054,760682,70918,L2,2021-12-19
E100055,982005,113292,L3,2021-12-24
E100056,609132,73972,L2,2021-03-04
E100057,1434089,159489,L4,2026-01-20
E100058,663348,70269,L2,2020-08-25
E100059,1330188,170603,L4,2021-08-12
E100060,820632,80415,L2,2022-04-14
E100061,1015831,130843,L3,2025-05-29
E100062,746496,40220,L2,2024-08-03
E100063,552836,32147,L1,2024-04-24
E100064,1460507,148818,L4,2021-08-20
E100065,1407969,202325,L4,2020-08-22
E100066,1255351,149496,L4,2022-01-31
E100067,1095724,129782,L3,2020-03-15
E100068,406460,45438,L1,2023-02-10
E100069,1002205,67991,L3,2022-08-26
E100070,916213,126367,L3,2023-07-31
E100071,1190472,92166,L3,2026-12-21
E100072,991276,134837,L3,2025-03-25
E100073,511391,26047,L1,2019-01-13
E100074,1545849,175191,L4,2020-10-14
E100075,532973,46760,L1,2021-06-26
E100076,990636,57561,L3,2023-12-25
E100077,1438906,114350,L4,2019-01-10
E100078,818778,44227,L2,2024-03-01
E100079,754902,62316,L2,2023-03-19
E100080,542060,35973,L1,2021-05-21
E100081,1159199,109962,L3,2021-09-21
E100082,942607,93520,L3,2019-04-02
E100083,1013036,120630,L3,2025-08-08
E100084,460039,55771,L1,2024-02-21
E100085,559381,57955,L1,2021-02-17
E100086,501135,66187,L1,2024-12-04
E100087,687232,45077,L2,2024-11-11
E100088,836164,73420,L2,2022-09-23
E100089,1192007,98331,L3,2018-12-05
E100090,1397305,163417,L4,2023-04-18
E100091,944577,103611,L3,2023-03-15
E100092,406377,20501,L1,2026-02-27
E100093,587972,45092,L1,2024-06-21
E100094,1699749,208258,L5,2025-06-01
E100095,900605,118359,L3,2025-01-07
E100096,418441,44064,L1,2021-02-16
E100097,1036378,132509,L3,2023-09-23
E100098,498564,57975,L1,2018-05-23
E100099,420946,29228,L1,2026-07-31
E100100,951164,127959,L3,2021-09-18
E100101,543292,42365,L1,2022-11-24
E100102,438301,38595,L1,2021-07-18
E100103,687720,73954,L2,2024-05-28
E100104,1144703,134911,L3,2025-06-07
E100105,1215880,77013,L4,2025-09-06
E100106,908798,80407,L3,2024-10-24
E100107,598220,85022,L1,2022-02-08
E100108,1057268,119680,L3,2021-10-14
E100109,618672,53535,L2,2023-05-20
E100110,2066863,112924,L5,2023-03-31
E100111,815126,95794,L2,2019-07-22
E100112,570381,47240,L1,2023-05-15
E100113,546778,62258,L1,2026-01-10
E100114,717275,101323,L2,2024-04-08
E100115,1189137,171469,L3,2021-02-18
E100116,986760,57891,L3,2018-11-21
E100117,820587,50510,L2,2021-10-28
E100118,1084954,101054,L3,2023-01-19
E100119,902899,76688,L3,2022-09-17
E100120,775564,47678,L2,2019-12-25
E100121,493493,61446,L1,2020-11-11
E100122,1158096,137225,L3,2022-04-30
E100123,750857,57205,L2,2021-07-03
E100124,1157571,96136,L3,2020-03-26
E100125,993496,49925,L3,2024-01-18
E100126,715526,81015,L2,2023-12-18
E100127,550291,61474,L1,2024-04-16
E100128,610769,88148,L2,2023-01-12
E100129,405077,40017,L1,2022-10-13
E100130,958611,62378,L3,2020-01-13
E100131,467200,34368,L1,2018-10-01
E100132,1218406,170265,L4,2023-03-01
E100133,409379,34090,L1,2022-04-08
E100134,752310,54620,L2,2019-10-14
E100135,485211,60202,L1,2022-08-13
E100136,1377367,146258,L4,2025-01-07
E100137,921144,61443,L3,2020-04-09
E100138,1193220,118123,L3,2020-10-06
E100139,651293,72546,L2,2020-07-03
E100140,665501,41967,L2,2022-03-26
E100141,622701,85484,L2,2019-01-28
E100142,588253,50663,L1,2022-07-24
E100143,1335395,130489,L4,2022-01-11
E100144,1145973,62917,L3,2019-09-25
E100145,1050676,106005,L3,2024-08-15
E100146,867296,119488,L2,2025-08-19
E100147,833988,80486,L2,2022-07-23
E100148,578942,37331,L1,2022-03-15
E100149,723600,107589,L2,2018-12-31
E100150,477967,50792,L1,2022-06-19
E100151,502834,51817,L1,2020-04-26
E100152,498083,66466,L1,2021-08-26
E100153,644102,82492,L2,2023-03-13
E100154,416944,32727,L1,2023-10-04
E100155,876947,124879,L2,2022-01-06
E100156,634229,65896,L2,2022-12-10
E100157,906825,103313,L3,2020-09-13
E100158,843495,53703,L2,2020-10-17
E100159,1596026,173899,L4,2019-11-10
E100160,590294,41584,L1,2022-05-22
E100161,893732,100045,L2,2020-02-08
E100162,520155,39581,L1,2025-06-04
E100163,1337006,145067,L4,2025-06-09
E100164,1103862,70761,L3,2024-01-26
E100165,1377558,117111,L4,2024-08-25
E100166,1041735,71199,L3,2019-09-01
E100167,504722,39112,L1,2020-07-05
E100168,917396,98216,L3,2021-07-24
E100169,1098231,88523,L3,2023-09-29
E100170,1925290,218302,L5,2025-03-31
E100171,718035,90131,L2,2021-03-25
E100172,915218,97546,L3,2024-08-23
E100173,959129,81405,L3,2023-01-12
E100174,508090,26850,L1,2021-11-29
E100175,1347793,152603,L4,2025-06-13
E100176,919814,55935,L3,2020-04-20
E100177,1148025,108125,L3,2025-09-22
E100178,1850829,223659,L5,2018-11-14
E100179,794762,57479,L2,2020-12-18
E100180,747881,52558,L2,2024-04-24
E100181,405064,24474,L1,2025-01-11
E100182,1030291,71620,L3,2020-03-18
E100183,462855,34538,L1,2024-02-25
E100184,519126,30499,L1,2020-08-03
E100185,810893,69762,L2,2023-06-03
E100186,1242273,164127,L4,2025-12-27
E100187,2099459,186843,L5,2021-06-20
E100188,1169101,101898,L3,2024-12-29
E100189,792928,115724,L2,2023-01-28
E100190,451166,23510,L1,2025-02-10
E100191,1189635,89795,L3,2023-08-28
E100192,1089234,151916,L3,2024-08-08
E100193,669794,76358,L2,2019-02-26
E100194,840795,120141,L2,2021-11-30
E100195,554867,68996,L1,2021-04-19
E100196,659868,73240,L2,2019-10-10
E100197,801431,77427,L2,2025-01-22
E100198,803523,103842,L2,2020-11-11
E100199,964135,102331,L3,2020-06-03
E100200,870842,84735,L2,2026-12-18
E100201,821633,64919,L2,2021-09-05
E100202,1232006,88281,L4,2021-10-15
E100203,563179,62301,L1,2023-06-10
E100204,864551,123967,L2,2024-08-29
E100205,765196,98689,L2,2025-04-05
E100206,1553191,176696,L4,2022-09-27
E100207,548965,31431,L1,2020-03-26
E100208,1111698,84290,L3,2021-03-11
E100209,471064,32454,L1,2022-10-07
E100210,580787,50457,L1,2021-02-11
E100211,910568,119956,L3,2020-01-17
E100212,865088,126772,L2,2021-03-17
E100213,863297,125758,L2,2022-08-18
E100214,458643,52763,L1,2025-05-25
E100215,1851515,256005,L5,2019-08-03
E100216,911086,76634,L3,2021-11-18
E100217,2134252,254078,L5,2026-02-24
E100218,996846,142174,L3,2023-09-04
E100219,979626,57551,L3,2019-12-29
E100220,634754,83727,L2,2020-11-15
E100221,531572,29653,L1,2019-08-16
E100222,1439194,103745,L4,2022-06-19
E100223,965297,58456,L3,2025-09-27
E100224,784705,89301,L2,2019-10-12
E100225,657037,69890,L2,2023-04-04
E100226,1101739,136322,L3,2019-05-21
E100227,722916,106326,L2,2021-08-12
E100228,1026688,85541,L3,2026-02-07
E100229,532490,76782,L1,2024-03-09
E100230,1279119,75922,L4,2024-08-03
E100231,764211,54334,L2,2024-06-20
E100232,819346,117598,L2,2019-11-10
E100233,665170,76166,L2,2022-05-19
E100234,646352,59393,L2,2023-11-01
E100235,984555,68086,L3,2020-06-17
E100236,529450,42717,L1,2022-06-04
E100237,718428,55689,L2,2021-06-12
E100238,750340,109060,L2,2021-03-30
E100239,815403,79722,L2,2026-03-11
E100240,540818,27465,L1,2019-10-02
E100241,630408,55519,L2,2021-05-03
E100242,717535,39785,L2,2023-12-15
E100243,549353,64835,L1,2021-04-04
E100244,1179730,111000,L3,2022-11-19
E100245,462063,62119,L1,2022-06-21
E100246,475047,66911,L1,2019-11-08
E100247,509783,54223,L1,2024-08-31
E100248,968094,130164,L3,2020-02-12
E100249,1551268,156684,L4,2024-03-01
E100250,588672,41495,L1,2025-04-30
E100251,509782,65143,L1,2022-02-11
E100252,1095907,86415,L3,2024-12-27
E100253,1596121,189447,L4,2022-04-29
E100254,1100010,117004,L3,2024-08-24
E100255,1175776,155566,L3,2025-06-30
E100256,1326503,92385,L4,2021-10-24
E100257,451421,25392,L1,2021-12-27
E100258,636376,91116,L2,2023-04-14
E100259,885398,78749,L2,2024-07-19
E100260,1438023,78209,L4,2019-09-22
E100261,892657,94431,L2,2021-12-18
E100262,938508,68863,L3,2019-06-04
E100263,623799,75647,L2,2022-06-17
E100264,683138,46296,L2,2024-10-21
E100265,824865,54355,L2,2024-11-30
E100266,816166,99980,L2,2024-01-05
E100267,804177,62829,L2,2021-07-18
E100268,431063,55981,L1,2022-09-22
E100269,674272,70468,L2,2023-10-31
E100270,1015849,109448,L3,2019-03-31
E100271,616804,31553,L2,2026-03-17
E100272,1359838,187139,L4,2024-04-09
E100273,1080131,59782,L3,2021-11-20
E100274,1086653,74570,L3,2024-07-14
E100275,435258,44067,L1,2019-10-27
E100276,849498,72249,L2,2026-04-14
E100277,1304301,179953,L4,2025-03-28
E100278,1431364,102236,L4,2021-09-05
E100279,1057126,79437,L3,2022-07-07
E100280,1678192,121751,L5,2021-10-14
E100281,415384,56503,L1,2024-10-31
E100282,569693,30082,L1,2025-10-03
E100283,1059074,69632,L3,2022-10-25
E100284,923807,124588,L3,2019-04-19
E100285,956801,100369,L3,2018-05-13
E100286,951719,63667,L3,2024-10-12
E100287,747071,88412,L2,2023-07-20
E100288,724396,66634,L2,2023-11-30
E100289,907035,134359,L3,2020-02-19
E100290,1523835,100726,L4,2022-12-05
E100291,1815193,229296,L5,2025-07-18
E100292,1064523,105200,L3,2021-06-11
E100293,1025099,90279,L3,2020-06-02
E100294,1094625,129992,L3,2021-08-03
E100295,1005136,113460,L3,2022-01-11
E100296,939242,61037,L3,2026-04-28
E100297,1103018,140042,L3,2020-04-25
E100298,990662,109547,L3,2020-04-10
E100299,532306,68875,L1,2025-03-31
E100300,528432,74161,L1,2020-01-14
E100301,1109051,106231,L3,2023-11-13
E100302,629443,59957,L2,2022-08-19
E100303,464237,35641,L1,2026-10-09
E100304,608357,84738,L2,2023-04-06
E100305,1453976,144038,L4,2024-12-13
E100306,510825,56958,L1,2024-01-15
E100307,1594883,83676,L4,2020-08-11
E100308,412900,29908,L1,2022-05-19
E100309,1169544,155952,L3,2023-01-01
E100310,570490,44405,L1,2023-08-18
E100311,1005622,136562,L3,2021-09-23
E100312,781197,101976,L2,2022-07-02
E100313,638765,79238,L2,2021-01-18
E100314,860561,68231,L2,2019-10-15
E100315,880468,127032,L2,2019-09-03
E100316,920275,98550,L3,2020-07-17
E100317,403663,51882,L1,2025-02-07
E100318,1064801,61866,L3,2024-06-21
E100319,1569492,159498,L4,2019-12-10
E100320,514407,70861,L1,2023-03-07
E100321,1354114,140785,L4,2025-08-14
E100322,973143,76518,L3,2023-09-13
E100323,944362,72611,L3,2023-07-17
E100324,1004438,88353,L3,2025-06-14
E100325,1473264,83253,L4,2020-11-02
E100326,630979,33367,L2,2025-09-05
E100327,829181,111137,L2,2019-06-06
E100328,995139,64316,L3,2023-12-22
E100329,643654,95447,L2,2024-12-07
E100330,1451074,187917,L4,2026-05-31
E100331,2108730,307255,L5,2021-04-03
E100332,775048,65091,L2,2020-08-25
E100333,671422,49904,L2,2019-11-21
E100334,1027931,64361,L3,2025-03-12
E100335,1007668,111191,L3,2020-09-26
E100336,454553,38194,L1,2025-01-12
E100337,812055,76176,L2,2021-09-22
E100338,536631,77163,L1,2019-05-28
E100339,999449,58569,L3,2022-06-17
E100340,991078,109702,L3,2021-10-20
E100341,1381243,170746,L4,2020-06-19
E100342,878591,115076,L2,2020-02-24
E100343,1157643,125475,L3,2019-04-29
E100344,916778,60784,L3,2025-07-09
E100345,1037513,62585,L3,2025-11-30
E100346,1607747,108840,L5,2019-12-10
E100347,911149,68389,L3,2022-05-08
E100348,622224,75807,L2,2023-09-20
E100349,1279891,80396,L4,2022-09-26
E100350,1296305,190062,L4,2023-12-14
E100351,817577,105223,L2,2023-07-02
E100352,572620,73568,L1,2024-09-30
E100353,583662,32100,L1,2024-09-06
E100354,493217,48210,L1,2025-01-23
E100355,1000054,115248,L3,2018-04-26
E100356,675242,51679,L2,2021-12-30
E100357,883595,112918,L2,2023-03-15
E100358,883160,132031,L2,2020-12-19
E100359,770888,93784,L2,2020-10-06
E100360,777088,107635,L2,2020-09-22
E100361,771885,38792,L2,2023-07-09
E100362,914069,104176,L3,2024-12-15
E100363,859470,74640,L2,2020-11-30
E100364,698486,93867,L2,2025-02-19
E100365,987731,114443,L3,2024-08-24
E100366,1527510,132314,L4,2019-06-09
E100367,1061682,75239,L3,2026-02-14
E100368,937446,92959,L3,2022-08-07
E100369,601699,76404,L2,2026-02-01
E100370,2175525,146583,L5,2024-03-04
E100371,513032,49749,L1,2022-11-16
E100372,907898,112325,L3,2025-01-13
E100373,785616,117220,L2,2025-09-20
E100374,530086,43200,L1,2024-08-18
E100375,576336,84300,L1,2024-12-17
E100376,1145095,149440,L3,2023-01-14
E100377,585597,35592,L1,2026-04-03
E100378,910727,60884,L3,2022-03-14
E100379,1916837,216893,L5,2024-04-01
E100380,728558,92611,L2,2020-08-25
E100381,412862,34424,L1,2022-09-22
E100382,500964,47649,L1,2019-06-08
E100383,1402270,77438,L4,2019-04-08
E100384,446873,58132,L1,2022-07-15
E100385,1209465,128470,L4,2024-09-19
E100386,764537,57799,L2,2026-01-28
E100387,460421,48323,L1,2020-05-02
E100388,1071529,155449,L3,2022-08-20
E100389,676876,87042,L2,2026-07-19
E100390,505558,43646,L1,2021-02-21
E100391,1158125,141245,L3,2021-03-10
E100392,893413,115823,L2,2024-02-02
E100393,525665,40948,L1,2020-12-16
E100394,434627,55787,L1,2020-06-16
E100395,585284,65428,L1,2025-06-11
E100396,918784,62743,L3,2023-01-12
E100397,1327328,110788,L4,2020-11-10
E100398,746365,100066,L2,2025-10-29
E100399,1192390,169957,L3,2020-01-12
E100400,476473,63063,L1,2019-07-21
E100401,475957,45695,L1,2020-06-07
E100402,964336,86386,L3,2020-10-17
E100403,918618,136899,L3,2021-05-18
E100404,745065,70537,L2,2020-07-26
E100405,858286,85101,L2,2023-04-24
E100406,929377,53069,L3,2021-08-14
E100407,523626,44424,L1,2020-02-15
