employee_id,gender,age,education,department,job_role,hire_date,manager_id,location,employment_type
E100000,F,42,Graduate,Finance,Financial Analyst,2020-07-18,M274,Pune,Contract
E100001,M,23,Postgraduate,Finance,Accountant,2017-05-11,M237,Hyderabad,Full-time
E100002,M,33,Graduate,Operations,Operations Analyst,2018-04-05,M258,Hyderabad,Full-time
E100003,M,36,Graduate,Finance,Accountant,2021-12-12,M307,Delhi,Full-time
E100004,M,28,Graduate,Sales,Sales Executive,2018-10-09,M288,Delhi,Full-time
E100005,M,28,Graduate,HR,HR Executive,2020-09-25,M207,Pune,Contract
E100006,M,31,Graduate,Finance,Accountant,2019-10-19,M345,Hyderabad,Full-time
E100007,M,37,Graduate,HR,HR Business Partner,2019-09-23,M239,Mumbai,Full-time
E100008,M,34,Graduate,HR,HR Executive,2019-12-13,M214,Mumbai,Full-time
E100009,M,32,Graduate,IT,Software Engineer,2022-07-21,M335,Pune,Full-time
E100010,F,28,Postgraduate,Sales,Sales Executive,2023-03-29,M211,Hyderabad,Full-time
E100011,M,24,Graduate,Operations,Operations Analyst,2022-03-11,M300,Chennai,Full-time
E100012,F,28,Graduate,Operations,Process Manager,2018-05-18,M214,Hyderabad,Full-time
E100013,F,41,Graduate,Operations,Operations Analyst,2019-05-14,M331,Chennai,Full-time
E100014,M,28,Graduate,Operations,Operations Analyst,2018-06-25,M285,Delhi,Contract
E100015,F,33,Graduate,Operations,Process Manager,2019-03-07,M274,Hyderabad,Full-time
E100016,M,41,Graduate,IT,QA Engineer,2023-02-16,M202,Chennai,Full-time
E100017,M,36,Graduate,IT,Data Analyst,2020-06-11,M295,Bangalore,Full-time
E100018,M,28,Graduate,IT,Data Analyst,2018-07-18,M312,Mumbai,Full-time
E100019,F,43,Graduate,IT,QA Engineer,2022-12-01,M328,Pune,Full-time
E100020,M,44,Postgraduate,Operations,Process Manager,2021-08-23,M322,Bangalore,Full-time
E100021,M,37,Postgraduate,Operations,Process Manager,2017-07-17,M323,Pune,Full-time
E100022,M,25,Graduate,Operations,Operations Analyst,2018-10-22,M346,Delhi,Full-time
E100023,M,39,Postgraduate,Finance,Financial Analyst,2022-05-14,M210,Delhi,Full-time
E100024,F,24,Graduate,HR,HR Executive,2020-12-09,M343,Hyderabad,Contract
E100025,M,37,Postgraduate,Finance,Accountant,2019-05-31,M236,Pune,Full-time
E100026,F,24,Postgraduate,IT,QA Engineer,2021-08-10,M253,Bangalore,Full-time
E100027,F,41,Graduate,Sales,Sales Executive,2020-12-14,M311,Chennai,Contract
E100028,M,23,Postgraduate,IT,Software Engineer,2022-04-04,M267,Bangalore,Full-time
E100029,F,24,Postgraduate,Finance,Accountant,2022-04-04,M232,Delhi,Full-time
E100030,F,23,Graduate,Operations,Operations Analyst,2023-10-22,M296,Delhi,Full-time
E100031,M,24,Postgraduate,IT,Software Engineer,2019-03-27,M216,Delhi,Contract
E100032,F,26,Postgraduate,Operations,Process Manager,2022-11-17,M245,Mumbai,Full-time
E100033,M,42,Graduate,Finance,Financial Analyst,2020-02-14,M266,Hyderabad,Full-time
E100034,M,39,Graduate,HR,HR Executive,2022-03-11,M285,Hyderabad,Full-time
E100035,F,30,Postgraduate,HR,HR Business Partner,2019-02-24,M238,Mumbai,Full-time
E100036,F,34,Graduate,HR,HR Executive,2022-01-16,M334,Bangalore,Full-time
E100037,M,40,Graduate,Finance,Financial Analyst,2018-02-04,M291,Hyderabad,Full-time
E100038,F,43,Graduate,Sales,Sales Executive,2018-07-29,M285,Bangalore,Full-time
E100039,F,33,Postgraduate,Sales,Account Manager,2023-05-01,M302,Delhi,Full-time
E100040,F,29,Postgraduate,Finance,Accountant,2017-02-16,M212,Hyderabad,Full-time
E100041,M,44,Graduate,Sales,Sales Executive,2017-04-30,M316,Chennai,Full-time
E100042,M,22,Graduate,IT,Software Engineer,2021-07-23,M295,Chennai,Full-time
E100043,F,28,Postgraduate,IT,Software Engineer,2019-06-16,M268,Chennai,Full-time
E100044,M,26,Graduate,Sales,Account Manager,2017-06-03,M228,Chennai,Full-time
E100045,F,26,Graduate,IT,Data Analyst,2021-11-09,M284,Delhi,Full-time
E100046,M,26,Postgraduate,Operations,Operations Analyst,2021-11-21,M337,Hyderabad,Contract
