employee_id,survey_date,engagement_score,work_life_balance,manager_support
E100000,2019-04-27,3,3,2
E100000,2022-09-30,3,4,3
E100000,2021-08-06,1,2,3
E100001,2023-02-17,3,5,4
E100001,2019-05-09,4,4,1
E100001,2021-05-05,1,2,5
E100002,2019-04-05,4,3,5
E100002,2023-06-04,1,5,1
E100002,2022-12-12,1,2,2
E100003,2022-03-22,2,2,2
E100003,2021-07-11,1,5,4
E100003,2022-07-02,3,4,2
E100004,2022-02-25,3,4,3
E100004,2023-02-14,1,5,4
E100004,2022-01-09,1,4,3
E100005,2019-05-10,4,2,3
E100005,2020-06-22,4,1,3
E100006,2022-06-26,5,5,4
E100007,2020-04-25,1,1,2
E100007,2020-08-05,3,1,3
E100008,2020-06-21,2,2,1
E100009,2019-09-25,4,1,4
E100009,2022-11-17,1,1,4
E100009,2019-03-12,4,3,4
E100010,2022-09-30,5,4,2
E100010,2023-09-13,5,5,4
E100010,2021-11-08,5,1,3
E100011,2021-04-17,1,2,2
E100011,2020-04-20,4,3,1
E100012,2023-01-23,2,5,4
E100013,2023-05-31,3,3,3
E100013,2022-04-18,5,4,5
E100014,2021-02-15,4,5,5
E100014,2022-01-21,5,5,5
E100015,2019-09-22,5,2,4
E100015,2023-03-02,2,2,2
E100016,2020-05-23,3,5,1
E100017,2021-04-06,3,5,1
E100017,2022-05-23,5,3,5
E100018,2023-09-09,4,3,5
E100018,2022-01-27,4,1,5
E100019,2021-12-31,1,3,1
E100020,2022-03-02,2,5,5
E100020,2020-07-15,1,3,4
E100021,2022-02-25,5,1,1
E100021,2021-09-21,2,2,2
E100021,2022-12-11,1,2,2
E100022,2019-08-06,4,4,1
E100023,2019-04-29,5,2,1
E100023,2019-04-12,4,3,5
E100023,2021-03-26,3,1,1
E100024,2019-03-14,2,4,3
E100024,2023-05-19,3,3,4
E100024,2022-10-06,2,2,2
E100025,2019-10-19,1,4,4
E100026,2021-04-03,3,3,3
E100026,2023-08-11,4,3,1
E100027,2019-07-17,3,5,5
E100027,2021-02-14,4,5,1
E100028,2022-06-30,3,5,5
E100028,2023-10-26,4,3,3
E100029,2023-05-04,4,3,4
E100029,2021-08-01,1,4,3
E100029,2021-10-20,5,5,1
E100030,2021-03-29,5,2,4
E100031,2022-04-04,3,4,4
E100032,2021-06-03,3,3,2
E100032,2023-05-01,5,5,2
E100032,2022-05-21,4,2,5
E100033,2021-12-31,1,1,3
E100034,2021-10-18,3,1,5
E100034,2022-08-29,3,4,1
E100034,2019-06-24,3,4,4
E100035,2020-04-08,3,1,4
E100035,2019-04-28,4,4,1
E100036,2020-08-06,3,2,4
E100036,2022-07-23,4,1,1
E100036,2023-02-01,1,3,5
E100037,2023-09-05,5,3,3
E100037,2022-11-01,2,3,2
E100038,2022-04-05,4,5,4
E100038,2022-01-27,1,5,1
E100039,2020-12-30,2,5,3
E100039,2019-11-24,2,1,4
E100040,2022-04-28,4,4,2
E100040,2023-08-16,5,3,1
E100040,2021-11-05,3,1,5
E100041,2022-06-01,4,2,2
E100042,2020-12-26,3,4,3
E100043,2022-08-25,5,2,5
E100043,2021-10-09,1,5,5
E100044,2019-07-23,4,4,3
E100044,2019-05-30,5,3,5
E100045,2019-12-01,1,3,4
E100046,2023-07-22,3,5,1
E100047,2022-11-07,1,1,4
E100047,2021-08-27,5,5,3
E100048,2021-02-11,1,2,2
E100049,2021-03-10,2,1,4
E100050,2019-07-25,5,4,1
E100050,2023-07-11,2,1,3
E100050,2020-02-04,1,5,5
