candidate_id,job_role,hire_date,time_to_hire,source,offer_accepted
C30000,Accountant,2022-06-01,54,Job Portal,Yes
C30001,Financial Analyst,2023-05-17,21,Job Portal,Yes
C30002,HR Business Partner,2021-06-18,77,Agency,No
C30003,Sales Executive,2023-05-27,59,Job Portal,Yes
C30004,Operations Analyst,2022-10-05,61,Referral,Yes
C30005,HR Business Partner,2022-02-20,80,Job Portal,No
C30006,HR Business Partner,2023-03-27,28,Job Portal,No
C30007,Accountant,2023-05-21,65,Job Portal,No
C30008,Software Engineer,2022-02-25,48,Campus,Yes
C30009,Data Analyst,2022-06-27,67,Campus,Yes
C30010,Sales Executive,2022-07-25,75,Job Portal,Yes
C30011,Operations Analyst,2022-03-04,66,Agency,Yes
C30012,HR Business Partner,2023-01-17,35,Referral,Yes
C30013,Operations Analyst,2022-09-20,25,Job Portal,Yes
C30014,QA Engineer,2021-12-21,59,Job Portal,Yes
C30015,Software Engineer,2023-08-06,35,Referral,Yes
C30016,HR Business Partner,2021-04-30,69,Job Portal,Yes
C30017,Sales Executive,2022-01-17,34,Referral,No
C30018,Software Engineer,2022-02-04,80,Referral,No
C30019,QA Engineer,2021-11-04,56,Campus,No
C30020,HR Business Partner,2021-09-15,74,Job Portal,Yes
C30021,Accountant,2022-09-14,76,Job Portal,Yes
C30022,Process Manager,2023-10-17,57,Job Portal,No
C30023,Process Manager,2023-04-02,19,Campus,Yes
C30024,Accountant,2022-08-22,32,Job Portal,Yes
C30025,Sales Executive,2022-11-26,31,Referral,Yes
C30026,HR Business Partner,2022-06-11,89,Job Portal,Yes
C30027,QA Engineer,2023-09-05,22,Job Portal,Yes
C30028,Operations Analyst,2022-07-26,61,Job Portal,Yes
C30029,Accountant,2022-09-12,33,Referral,Yes
C30030,QA Engineer,2022-09-07,72,Job Portal,Yes
C30031,QA Engineer,2021-12-31,15,Campus,Yes
C30032,HR Executive,2021-11-07,85,Job Portal,No
C30033,Process Manager,2021-08-26,67,Job Portal,Yes
C30034,QA Engineer,2023-08-05,17,Referral,Yes
C30035,Account Manager,2023-07-18,56,Job Portal,Yes
C30036,QA Engineer,2022-02-25,38,Referral,Yes
C30037,HR Business Partner,2022-11-27,79,Job Portal,No
C30038,Sales Executive,2021-11-06,20,Agency,Yes
C30039,Financial Analyst,2022-06-09,72,Job Portal,Yes
C30040,Process Manager,2022-06-29,89,Campus,Yes
C30041,Accountant,2021-03-11,25,Referral,Yes
C30042,Financial Analyst,2023-06-13,83,Job Portal,Yes
C30043,Operations Analyst,2022-10-15,62,Campus,Yes
C30044,Data Analyst,2021-05-05,42,Referral,Yes
C30045,HR Executive,2022-06-28,35,Job Portal,Yes
C30046,Operations Analyst,2022-09-13,37,Campus,Yes
C30047,QA Engineer,2023-01-21,22,Referral,Yes
C30048,Accountant,2023-07-13,65,Job Portal,Yes
C30049,Process Manager,2023-02-25,17,Referral,Yes
C30050,Accountant,2022-02-14,84,Referral,No
C30051,HR Executive,2021-11-17,72,Referral,Yes
C30052,Accountant,2023-04-02,25,Referral,Yes
C30053,Account Manager,2022-10-06,21,Job Portal,Yes
C30054,HR Executive,2021-10-23,36,Campus,Yes
C30055,QA Engineer,2022-08-18,23,Campus,Yes
C30056,Data Analyst,2021-06-17,24,Campus,Yes
C30057,Operations Analyst,2021-05-21,34,Campus,Yes
C30058,Account Manager,2022-09-16,76,Job Portal,Yes
C30059,Accountant,2021-12-29,80,Referral,No
C30060,Operations Analyst,2023-02-16,26,Campus,Yes
C30061,Process Manager,2022-09-17,49,Job Portal,Yes
C30062,HR Executive,2022-03-04,43,Campus,Yes
C30063,HR Executive,2021-03-23,84,Campus,Yes
C30064,Account Manager,2022-10-04,52,Campus,Yes
C30065,Software Engineer,2023-03-29,54,Agency,Yes
C30066,Accountant,2023-07-28,82,Referral,Yes
C30067,HR Business Partner,2021-11-02,28,Campus,No
C30068,Process Manager,2022-09-12,35,Job Portal,Yes
C30069,Account Manager,2021-04-30,79,Job Portal,Yes
C30070,Accountant,2021-06-28,25,Job Portal,Yes
C30071,QA Engineer,2023-06-01,63,Campus,No
C30072,Software Engineer,2022-09-13,19,Campus,Yes
C30073,Sales Executive,2023-03-29,89,Job Portal,Yes
C30074,HR Executive,2021-05-03,72,Referral,No
C30075,Operations Analyst,2022-12-05,44,Referral,Yes
C30076,Accountant,2022-12-15,41,Job Portal,Yes
C30077,QA Engineer,2021-07-07,55,Job Portal,Yes
C30078,HR Executive,2021-04-27,79,Agency,Yes
C30079,Financial Analyst,2022-11-15,86,Job Portal,Yes
C30080,HR Executive,2022-09-03,75,Referral,Yes
C30081,QA Engineer,2022-03-28,34,Job Portal,Yes
C30082,Account Manager,2022-02-06,55,Referral,Yes
C30083,Software Engineer,2023-07-16,55,Job Portal,Yes
C30084,Process Manager,2021-07-09,52,Referral,No
C30085,QA Engineer,2021-04-29,30,Job Portal,Yes
C30086,Account Manager,2023-04-29,78,Referral,No
C30087,QA Engineer,2023-03-26,45,Job Portal,Yes
C30088,HR Business Partner,2023-03-31,73,Referral,Yes
C30089,Financial Analyst,2021-05-17,38,Agency,Yes
C30090,Accountant,2023-06-26,38,Campus,No
C30091,Accountant,2023-01-10,24,Referral,Yes
C30092,HR Executive,2023-05-22,71,Job Portal,Yes
C30093,HR Executive,2021-10-21,76,Referral,Yes
C30094,Financial Analyst,2021-07-30,16,Agency,Yes
C30095,Data Analyst,2022-09-25,18,Referral,Yes
C30096,Account Manager,2022-06-16,75,Referral,Yes
C30097,HR Executive,2021-06-18,59,Referral,No
C30098,Accountant,2021-06-11,21,Campus,No
C30099,QA Engineer,2021-10-23,60,Referral,Yes
C30100,Process Manager,2022-07-03,47,Referral,Yes
C30101,Financial Analyst,2023-03-05,67,Job Portal,Yes
C30102,Data Analyst,2022-06-19,25,Job Portal,Yes
C30103,Financial Analyst,2021-03-24,89,Referral,No
C30104,Process Manager,2021-08-03,86,Job Portal,No
C30105,Software Engineer,2023-05-23,59,Job Portal,Yes
C30106,Accountant,2021-12-29,17,Job Portal,No
C30107,Operations Analyst,2021-11-01,53,Job Portal,Yes
C30108,HR Business Partner,2023-07-24,89,Campus,Yes
C30109,Sales Executive,2022-07-01,75,Campus,Yes
C30110,Data Analyst,2021-12-26,18,Referral,No
C30111,Sales Executive,2022-07-15,58,Referral,Yes
C30112,HR Executive,2022-06-05,49,Referral,No
C30113,Software Engineer,2022-03-27,51,Referral,Yes
C30114,Sales Executive,2023-08-02,22,Referral,Yes
C30115,HR Executive,2021-03-03,55,Job Portal,Yes
C30116,HR Business Partner,2023-01-14,41,Referral,No
C30117,Process Manager,2022-09-16,81,Referral,Yes
C30118,QA Engineer,2022-12-12,79,Campus,Yes
C30119,Financial Analyst,2021-10-02,76,Job Portal,Yes
C30120,QA Engineer,2023-09-01,43,Referral,Yes
C30121,HR Business Partner,2022-05-08,31,Campus,Yes
C30122,Account Manager,2023-03-09,54,Job Portal,Yes
C30123,Account Manager,2021-04-09,26,Referral,Yes
C30124,Sales Executive,2023-01-13,88,Referral,Yes
C30125,Financial Analyst,2023-10-24,86,Referral,Yes
