employee_id,review_year,performance_rating,promotion_flag
E100000,2020,4,No
E100001,2017,4,No
E100001,2018,2,No
E100001,2019,3,No
E100001,2020,4,No
E100002,2018,3,No
E100003,2021,4,No
E100003,2022,5,No
E100003,2023,4,No
E100003,2024,4,No
E100004,2018,4,No
E100004,2019,4,No
E100005,2020,4,No
E100005,2021,5,No
E100006,2019,3,No
E100006,2020,5,No
E100007,2019,5,No
E100007,2020,3,No
E100008,2019,4,No
E100008,2020,3,No
E100009,2022,4,No
E100009,2023,4,No
E100009,2024,5,No
E100009,2025,4,No
E100010,2023,2,No
E100010,2024,3,No
E100010,2025,4,No
E100011,2022,3,No
E100012,2018,3,No
E100012,2019,3,No
E100012,2020,4,No
E100012,2021,5,No
E100013,2019,2,No
E100014,2018,3,No
E100014,2019,5,No
E100014,2020,3,No
E100014,2021,4,No
E100015,2019,4,No
E100015,2020,3,No
E100015,2021,5,No
E100016,2023,4,No
E100016,2024,4,No
E100017,2020,3,No
E100017,2021,5,Yes
E100018,2018,4,No
E100018,2019,2,No
E100018,2020,3,No
E100019,2022,3,No
E100020,2021,3,No
E100021,2017,2,No
E100021,2018,3,No
E100021,2019,3,No
E100022,2018,2,No
E100022,2019,3,No
E100022,2020,2,Yes
E100023,2022,3,No
E100023,2023,4,No
E100024,2020,5,No
E100024,2021,4,No
E100024,2022,2,No
E100025,2019,4,No
E100025,2020,4,No
E100026,2021,4,No
E100026,2022,4,Yes
E100026,2023,5,No
E100026,2024,4,Yes
E100027,2020,2,No
E100027,2021,3,No
E100028,2022,3,No
E100028,2023,4,No
E100029,2022,5,No
E100029,2023,3,No
E100029,2024,2,No
E100030,2023,3,No
E100031,2019,3,No
E100031,2020,2,No
E100032,2022,4,No
E100032,2023,3,No
E100032,2024,4,No
E100032,2025,3,No
E100033,2020,3,No
E100033,2021,4,No
E100034,2022,4,No
E100034,2023,4,No
E100034,2024,3,No
E100035,2019,4,No
E100035,2020,5,No
E100036,2022,2,Yes
E100036,2023,2,No
E100036,2024,3,No
E100036,2025,4,No
E100037,2018,5,No
E100037,2019,3,No
E100038,2018,3,No
E100038,2019,4,No
E100038,2020,2,Yes
E100038,2021,4,No
E100039,2023,4,No
E100039,2024,2,No
E100039,2025,5,No
E100039,2026,2,No
E100040,2017,4,Yes
E100041,2017,2,No
E100042,2021,5,No
E100042,2022,4,No
E100043,2019,5,No
E100044,2017,3,No
E100044,2018,5,No
E100045,2021,4,No
E100045,2022,5,No
E100046,2021,4,Yes
E100046,2022,3,No
E100046,2023,2,No
E100046,2024,3,No
E100047,2018,3,No
